中央频道,#genre#
东南卫视,http://116.117.104.39:8096/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
东南卫视,http://116.117.104.242:8096/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
东南卫视,http://116.117.105.183:8096/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
东南卫视,http://116.117.106.240:8096/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0,0.24
东南卫视,http://116.117.106.74:8096/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0,0.23
云南卫视,http://116.117.105.247:8096/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0,0.35
云南卫视,http://116.117.106.42:8096/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0,0.32
云南卫视,http://116.117.104.39:8096/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
云南卫视,http://116.117.104.242:8096/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
云南卫视,http://116.117.105.183:8096/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
云南卫视,http://116.117.106.240:8096/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0,0.24
云南卫视,http://116.117.106.74:8096/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0,0.23
兵团卫视,http://116.117.105.247:8096/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0,0.35
兵团卫视,http://116.117.106.42:8096/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0,0.32
兵团卫视,http://116.117.104.39:8096/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
兵团卫视,http://116.117.104.242:8096/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
兵团卫视,http://116.117.105.183:8096/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
兵团卫视,http://116.117.106.240:8096/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0,0.24
兵团卫视,http://116.117.106.74:8096/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0,0.23
北京卫视,http://116.117.105.247:8096/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0,0.35
北京卫视,http://116.117.106.42:8096/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0,0.32
北京卫视,http://116.117.104.39:8096/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
北京卫视,http://116.117.104.242:8096/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
北京卫视,http://116.117.105.183:8096/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
北京卫视,http://116.117.106.240:8096/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0,0.24
北京卫视,http://116.117.106.74:8096/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0,0.23
四川卫视,http://116.117.105.247:8096/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0,0.35
四川卫视,http://116.117.106.42:8096/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0,0.32
四川卫视,http://116.117.104.39:8096/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
四川卫视,http://116.117.104.242:8096/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
四川卫视,http://116.117.105.183:8096/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
四川卫视,http://116.117.106.240:8096/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0,0.24
四川卫视,http://116.117.106.74:8096/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0,0.23
天津卫视,http://116.117.105.247:8096/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0,0.35
天津卫视,http://116.117.106.42:8096/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0,0.32
天津卫视,http://116.117.104.39:8096/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
天津卫视,http://116.117.104.242:8096/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
天津卫视,http://116.117.105.183:8096/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
天津卫视,http://116.117.106.240:8096/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0,0.24
天津卫视,http://116.117.106.74:8096/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0,0.23
