央视频道,#genre#:
CCTV17,http://115.171.216.91:4000/udp/225.1.8.17:8144,0.69
CCTV17,http://123.113.236.69:8012/rtp/239.3.1.151:8144,0.57
CCTV怀旧剧场,http://171.116.226.246:8084/rtp/226.0.2.224:9704,0.97
CCTV怀旧剧场,http://60.220.167.49:8082/rtp/226.0.2.224:9704,0.91
CCTV怀旧剧场,http://211.90.88.212:8085/rtp/226.0.2.224:9704,0.9
CCTV风云剧场,http://60.220.167.43:8085/rtp/226.0.2.227:9728,0.9

卫视频道,#genre#:
东南卫视,http://171.116.226.246:8082/rtp/226.0.2.188:9416,0.94
东南卫视,http://114.243.156.93:8888/rtp/239.3.1.156:8148,0.94
东南卫视,http://42.237.181.199:4000/rtp/225.1.4.228:1274,0.94
东南卫视,http://183.187.89.66:8888/rtp/226.0.2.188:9416,0.92
东南卫视,http://171.116.226.246:8084/rtp/226.0.2.188:9416,0.91
东南卫视,http://211.90.88.212:8085/rtp/226.0.2.188:9416,0.88
东南卫视,http://60.220.167.49:8082/rtp/226.0.2.188:9416,0.78
东南卫视,http://115.171.216.91:4000/udp/225.1.8.79:8148,0.65
东方卫视,http://222.129.33.14:8888/rtp/239.3.1.136:8032,0.95
东方卫视,http://111.199.232.88:18888/rtp/239.3.1.136:8032,0.95
东方卫视,http://114.240.43.235:8012/rtp/239.3.1.136:8032,0.95
东方卫视,http://114.243.104.126:8888/rtp/239.3.1.136:8032,0.95
东方卫视,http://221.217.54.246:8686/rtp/239.3.1.136:8032,0.95
东方卫视,http://42.237.181.199:4000/rtp/225.1.4.85:1114,0.95
东方卫视,http://114.243.156.93:8888/rtp/239.3.1.136:8032,0.94
东方卫视,http://60.220.167.49:8082/rtp/226.0.2.175:9312,0.94
东方卫视,http://106.120.14.74:2333/udp/225.1.8.45:8032,0.93
东方卫视,http://171.116.226.246:8082/rtp/226.0.2.175:9312,0.92
东方卫视,http://171.116.226.246:8084/rtp/226.0.2.175:9312,0.92
东方卫视,http://211.90.88.212:8085/rtp/226.0.2.175:9312,0.92
东方卫视,http://183.187.89.66:8888/rtp/226.0.2.175:9312,0.91
东方卫视,http://115.171.216.91:4000/udp/225.1.8.45:8032,0.89
北京卫视,http://114.243.104.126:8888/rtp/239.3.1.241:8000,0.95
北京卫视,http://171.116.226.246:8084/rtp/226.0.2.177:9328,0.95
北京卫视,http://114.240.43.235:8012/rtp/239.3.1.241:8000,0.94
北京卫视,http://221.217.54.246:8686/rtp/239.3.1.241:8000,0.94
北京卫视,http://123.113.14.115:8012/rtp/239.3.1.241:8000,0.94
北京卫视,http://42.237.181.199:4000/rtp/225.1.4.81:1110,0.94
北京卫视,http://211.90.88.212:8085/rtp/226.0.2.177:9328,0.94
北京卫视,http://60.220.167.43:8085/rtp/226.0.2.177:9328,0.94
北京卫视,http://60.220.167.49:8082/rtp/226.0.2.177:9328,0.93
北京卫视,http://106.120.14.74:2333/udp/225.1.8.21:8002,0.92
北京卫视,http://124.230.56.126:55555/udp/239.76.253.184:9000,0.91
北京卫视,http://175.150.152.34:9007/rtp/232.0.0.117:1234,0.9
北京卫视,http://171.116.226.246:8082/rtp/226.0.2.177:9328,0.88
北京卫视,http://115.171.216.91:4000/udp/225.1.8.21:8002,0.86
北京卫视,http://171.120.110.84:8085/rtp/226.0.2.177:9328,0.81
北京卫视,http://123.113.249.203:8888/rtp/239.3.1.241:8000,0.77
吉林卫视,http://175.150.152.34:9007/rtp/232.0.0.180:1234,0.96
吉林卫视,http://114.252.231.80:8000/rtp/239.3.1.240:8172,0.96
吉林卫视,http://123.113.237.160:8888/rtp/239.3.1.240:8172,0.95
吉林卫视,http://114.243.156.93:8888/rtp/239.3.1.240:8172,0.95
吉林卫视,http://111.199.232.88:18888/rtp/239.3.1.240:8172,0.95
吉林卫视,http://114.240.43.235:8012/rtp/239.3.1.240:8172,0.95
吉林卫视,http://114.243.104.126:8888/rtp/239.3.1.240:8172,0.95
吉林卫视,http://221.217.54.246:8686/rtp/239.3.1.240:8172,0.95
吉林卫视,http://222.129.33.14:8888/rtp/239.3.1.240:8172,0.94
吉林卫视,http://42.237.181.199:4000/rtp/225.1.4.174:1309,0.94
吉林卫视,http://60.220.167.37:8085/rtp/226.0.2.58:8376,0.94
吉林卫视,http://60.220.167.43:8085/rtp/226.0.2.58:8376,0.94
吉林卫视,http://211.90.88.212:8085/rtp/226.0.2.58:8376,0.93
吉林卫视,http://60.220.167.49:8082/rtp/226.0.2.58:8376,0.89
吉林卫视,http://123.113.236.69:8012/rtp/239.3.1.240:8172,0.85
吉林卫视,http://123.113.249.203:8888/rtp/239.3.1.240:8172,0.66
四川卫视,http://60.220.167.37:8085/rtp/226.0.2.179:9344,0.94
四川卫视,http://60.220.167.43:8085/rtp/226.0.2.179:9344,0.94
四川卫视,http://211.90.88.212:8085/rtp/226.0.2.179:9344,0.92
四川卫视,http://60.220.167.49:8082/rtp/226.0.2.179:9344,0.9
四川卫视,http://175.150.152.34:9005/rtp/232.0.0.185:1234,0.86
四川卫视,http://42.237.181.183:4000/rtp/225.1.4.151:1306,0.86
四川卫视,http://124.230.56.126:55555/udp/239.76.246.91:1234,0.65
天津卫视,http://114.240.43.235:8012/rtp/239.3.1.141:1234,0.95
天津卫视,http://221.217.54.246:8686/rtp/239.3.1.141:1234,0.95
天津卫视,http://42.237.181.199:4000/rtp/225.1.4.86:1115,0.95
天津卫视,http://171.116.226.246:8084/rtp/226.0.2.148:9096,0.95
天津卫视,http://60.220.167.43:8085/rtp/226.0.2.148:9096,0.95
天津卫视,http://106.120.14.74:2333/udp/225.1.8.48:8044,0.94
天津卫视,http://171.116.226.246:8082/rtp/226.0.2.148:9096,0.94
天津卫视,http://114.243.156.93:8888/rtp/239.3.1.141:1234,0.94
天津卫视,http://211.90.88.212:8085/rtp/226.0.2.148:9096,0.94
天津卫视,http://60.220.167.37:8085/rtp/226.0.2.148:9096,0.94
天津卫视,http://42.237.181.183:4000/rtp/225.1.4.86:1115,0.86
天津卫视,http://175.150.152.34:9007/rtp/232.0.0.125:1234,0.84
天津卫视,http://115.171.216.91:4000/udp/225.1.8.48:8044,0.7
天津卫视,http://124.230.56.126:55555/udp/239.76.246.185:1234,0.51
安徽卫视,http://106.120.14.74:2333/udp/225.1.8.52:8064,0.95
安徽卫视,http://114.246.180.128:4022/rtp/239.3.1.211:8064,0.95
安徽卫视,http://114.243.156.93:8888/rtp/239.3.1.211:8064,0.95
安徽卫视,http://175.150.152.34:9007/rtp/232.0.0.141:1234,0.95
安徽卫视,http://221.217.54.246:8686/rtp/239.3.1.211:8064,0.95
安徽卫视,http://42.237.181.199:4000/rtp/225.1.4.87:1116,0.95
安徽卫视,http://171.116.226.246:8082/rtp/226.0.2.145:9072,0.94
安徽卫视,http://171.116.226.246:8084/rtp/226.0.2.145:9072,0.94
安徽卫视,http://211.90.88.212:8085/rtp/226.0.2.145:9072,0.93
安徽卫视,http://60.220.167.43:8085/rtp/226.0.2.145:9072,0.93
安徽卫视,http://115.171.216.91:4000/udp/225.1.8.52:8064,0.92
安徽卫视,http://60.220.167.49:8082/rtp/226.0.2.145:9072,0.92
安徽卫视,http://42.237.181.183:4000/rtp/225.1.4.87:1116,0.87
安徽卫视,http://123.113.236.69:8012/rtp/239.3.1.211:8064,0.79
安徽卫视,http://123.113.249.203:8888/rtp/239.3.1.211:8064,0.7
山东卫视,http://42.237.181.199:4000/rtp/225.1.4.88:1117,0.95
山东卫视,http://60.220.167.49:8082/rtp/226.0.2.149:9104,0.94
山东卫视,http://171.116.226.246:8084/rtp/226.0.2.149:9104,0.94
山东卫视,http://211.90.88.212:8085/rtp/226.0.2.149:9104,0.94
山东卫视,http://60.220.167.43:8085/rtp/226.0.2.149:9104,0.94
山东卫视,http://171.116.226.246:8082/rtp/226.0.2.149:9104,0.92
山东卫视,http://175.150.152.34:9007/rtp/232.0.0.131:1234,0.88
山东卫视,http://106.120.14.74:2333/udp/225.1.8.50:8052,0.63
